Rank	Title	Year	Director	Cast 1	Cast 2	Cast 3	Cast 4	Cast 5
1	101 Dalmatians	1961	Clyde Geronimi	Rod Taylor	J. Pat O'Malley	Betty Lou Gerson	Martha Wentworth	Ben Wright
2	12 Angry Men	1957	Sidney Lumet	Martin Balsam	John Fiedler	Lee J. Cobb	E.G. Marshall	Jack Klugman
3	2001: A Space Odyssey	1968	Stanley Kubrick	Keir Dullea	Gary Lockwood	William Sylvester	Daniel Richter	Leonard Rossiter
4	2012	2009	Roland Emmerich	John Cusack	Amanda Peet	Chiwetel Ejiofor	Thandie Newton	Oliver Platt
5	3 Idiots	2009	Rajkumar Hirani	Aamir Khan	Kareena Kapoor	Madhavan	Sharman Joshi	Boman Irani
6	3 Men and a Baby	1987	Leonard Nimoy	Tom Selleck	Steve Guttenberg	Ted Danson	Nancy Travis	Margaret Colin
7	300	2006	Zack Snyder	Gerard Butler	Lena Headey	Dominic West	David Wenham	Vincent Regan
8	8½	1963	Federico Fellini	Marcello Mastroianni	Claudia Cardinale	Anouk Aimée	Sandra Milo	Rossella Falk
9	A Beautiful Mind	2001	Ron Howard	Russell Crowe	Ed Harris	Jennifer Connelly	Christopher Plummer	Paul Bettany
10	A Bug's Life	1998	John Lasseter	Dave Foley	Kevin Spacey	Julia Louis-Dreyfus	Hayden Panettiere	Phyllis Diller
11	A Clockwork Orange	1971	Stanley Kubrick	Malcolm McDowell	Patrick Magee	Michael Bates	Warren Clarke	John Clive
12	A Fistful of Dollars	1964	Sergio Leone	Clint Eastwood	Marianne Koch	Gian Maria Volonté	Wolfgang Lukschy	Sieghardt Rupp
13	A Separation	2011	Asghar Farhadi	Payman Maadi	Leila Hatami	Sareh Bayat	Shahab Hosseini	Sarina Farhadi
14	A Streetcar Named Desire	1951	Elia Kazan	Vivien Leigh	Marlon Brando	Kim Hunter	Karl Malden	Rudy Bond
15	Air Force One	1997	Wolfgang Petersen	Harrison Ford	Gary Oldman	Glenn Close	Wendy Crewson	Liesel Matthews
16	Aladdin	1992	Ron Clements	Scott Weinger	Robin Williams	Linda Larkin	Jonathan Freeman	Frank Welker
17	Alice in Wonderland	2010	Tim Burton	Johnny Depp	Mia Wasikowska	Helena Bonham Carter	Anne Hathaway	Crispin Glover
18	Alien	1979	Ridley Scott	Tom Skerritt	Sigourney Weaver	Veronica Cartwright	Harry Dean Stanton	John Hurt
19	Aliens	1986	James Cameron	Sigourney Weaver	Carrie Henn	Michael Biehn	Paul Reiser	Lance Henriksen
20	All About Eve	1950	Joseph L. Mankiewicz	Bette Davis	Anne Baxter	George Sanders	Celeste Holm	Gary Merrill
21	All Quiet on the Western Front	1930	Lewis Milestone	Louis Wolheim	Lew Ayres	John Wray	Arnold Lucy	Ben Alexander
22	Alvin and the Chipmunks	2007	Tim Hill	Jason Lee	David Cross	Cameron Richardson	Jane Lynch	Justin Long
23	Alvin and the Chipmunks: The Squeakquel	2009	Betty Thomas	Zachary Levi	David Cross	Jason Lee	Justin Long	Matthew Gray Gubler
24	Amadeus	1984	Milos Forman	F. Murray Abraham	Tom Hulce	Elizabeth Berridge	Roy Dotrice	Simon Callow
25	American Beauty	1999	Sam Mendes	Kevin Spacey	Annette Bening	Thora Birch	Wes Bentley	Mena Suvari
26	American History X	1998	Tony Kaye	Edward Norton	Edward Furlong	Beverly D'Angelo	Jennifer Lien	Ethan Suplee
27	Amores Perros	2000	Alejandro González Iñárritu	Emilio Echevarría	Gael García Bernal	Goya Toledo	Álvaro Guerrero	Vanessa Bauche
28	Amélie	2001	Jean-Pierre Jeunet	Audrey Tautou	Mathieu Kassovitz	Rufus	Lorella Cravotta	Serge Merlin
29	Anatomy of a Murder	1959	Otto Preminger	James Stewart	Lee Remick	Ben Gazzara	Arthur O'Connell	Eve Arden
30	Annie Hall	1977	Woody Allen	Woody Allen	Diane Keaton	Tony Roberts	Carol Kane	Paul Simon
31	Apocalypse Now	1979	Francis Ford Coppola	Marlon Brando	Martin Sheen	Robert Duvall	Frederic Forrest	Sam Bottoms
32	Apollo 13	1995	Ron Howard	Tom Hanks	Bill Paxton	Kevin Bacon	Gary Sinise	Ed Harris
33	Armageddon	1998	Michael Bay	Bruce Willis	Billy Bob Thornton	Ben Affleck	Liv Tyler	Will Patton
34	Austin Powers in Goldmember	2002	Jay Roach	Mike Myers	Beyoncé Knowles	Seth Green	Michael York	Robert Wagner
35	Austin Powers: The Spy Who Shagged Me	1999	Jay Roach	Mike Myers	Heather Graham	Michael York	Robert Wagner	Rob Lowe
36	Avatar	2009	James Cameron	Sam Worthington	Zoe Saldana	Sigourney Weaver	Stephen Lang	Michelle Rodriguez
37	Back to the Future	1985	Robert Zemeckis	Michael J. Fox	Christopher Lloyd	Lea Thompson	Crispin Glover	Thomas F. Wilson
38	Barry Lyndon	1975	Stanley Kubrick	Ryan O'Neal	Marisa Berenson	Patrick Magee	Hardy Krüger	Steven Berkoff
39	Batman	1989	Tim Burton	Michael Keaton	Jack Nicholson	Kim Basinger	Robert Wuhl	Pat Hingle
40	Batman Begins	2005	Christopher Nolan	Christian Bale	Michael Caine	Liam Neeson	Katie Holmes	Gary Oldman
41	Batman Forever	1995	Joel Schumacher	Val Kilmer	Tommy Lee Jones	Jim Carrey	Nicole Kidman	Chris O'Donnell
42	Batman Returns	1992	Tim Burton	Michael Keaton	Danny DeVito	Michelle Pfeiffer	Christopher Walken	Michael Gough
43	Beauty and the Beast	1991	Gary Trousdale	Paige O'Hara	Robby Benson	Richard White	Jerry Orbach	David Ogden Stiers
44	Before Midnight	2013	Richard Linklater	Ethan Hawke	Julie Delpy	Seamus Davey-Fitzpatrick	Jennifer Prior	Charlotte Prior
45	Before Sunrise	1995	Richard Linklater	Ethan Hawke	Julie Delpy	Andrea Eckert	Hanno Pöschl	Karl Bruckschwaiger
